,ranking,title,artist,songwriters,producers,label
38,39,Cruel Summer,Taylor Swift,"T.Swift, J.M.Antonoff, A.E.Clark","J.M.Antonoff, T.Swift",Republic
39,40,TQM,Fuerza Regida,"J.Oritz Paz, M.Armenta, B.D.Candia Nunez","J.Ortiz Paz, M.Armenta, A.Tumbado, J.Humilde",Street Mob/Rancho Humilde/Sony Music Latin
40,41,Stand By Me,Lil Durk Featuring Morgan Wallen,"D.D.Banks, L.S.Gottwald, G.Lewis, R.J.Ogren, R.Valdes, M.C.Wallen, K.E.Smith, Charlie Handsome",Dr. Luke,Alamo
41,42,Religiously,Bailey Zimmerman,"A.Palmer, A.R.Shawn, B.Zimmerman, F.Romano, Marty James","A.R.Shawn, J.Bruyere",Elektra/Warner Music Nashville/WEA
42,43,Dial Drunk,NEW,"N.Kahan, N.Levine","G.Simon, N.Kahan",Mercury/Republic
43,44,Under The Influence,Chris Brown,"C.M.Brown, A.Agboola, T.McKie, DaVido",Kiddominant,CBE/RCA
44,45,Players,Coi Leray,"J.Goldstein, Coi Leray, A.C.King, F.Ferraro, E.G.Fletcher, S.Robinson, C.Chase, M.Glover",J.Goldstein,Uptown/Republic
45,46,Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie","L.T.Wayne, N.S.Goraya, A Boogie Wit da Hoodie, K.M.I.Shaman Brown, C.Townsend, J.Holt, J.Lenox","Metro Boomin, Chris XZ",Republic
46,47,Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset","L.T.Wayne, K.M.I.Shaman Brown, D.M.Carter, Jr., K.Cephus, J.A.Donald, M.G.Dean, Prince 85","Metro Boomin, M.G.Dean, Prince 85",Republic
47,48,Take Two,NEW,"SUGA, El Capitxn, RM, G.B.Brandes, M.Thomson, M.L.Graham, j-hope, Nois upGrader","SUGA, El Capitxn",BigHit Music/Geffen/Interscope
48,49,Love You Anyway,Luke Combs,"L.Combs, R.Fulcher, D.Isbell","L.Combs, Chip Matthews, J.D.Singleton",River House/Columbia Nashville
49,50,Thank God,Kane Brown With Katelyn Brown,"C.D.Stalnecker, K.A.Fishman, J.Free, J.Hoge, J.Mullins",D.Huff,Zone 4/RCA Nashville/RCA
50,51,Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee","L.T.Wayne, R.A.Mayers, Roisee, M.G.Dean, L.Wayne, P.L.Johnson","Metro Boomin, M.G.Dean, L.Wayne, P.L.Johnson",Republic
51,52,Princess Diana,Ice Spice & Nicki Minaj,"I.Gaston, E.Lopez Jr., O.T.Maraj-Petty",RIOTUSA,Dolo/TenThousand Projects/Capitol
52,53,Bye,Peso Pluma,H.E.Kabande Laija,"J.I.Leal Reyes, Peso Pluma, T.Laija, Neto, G.Prajin",Double P
53,54,Self Love,Metro Boomin & Coi Leray,"L.T.Wayne, B.T.Hazzard, A.E.Proctor, Prince 85, Coi Leray","Metro Boomin, Dre Moon, Prince 85",Republic
